,station,week,zaterdag,zondag,lat,lng,station_link
432,MERODE,900,9,9,50.83950129999999,4.3988431,Merode
433,MERY,64,9,12,50.547517600000006,5.5872081,Méry
434,MESSANCY,96,9,9,49.5926876,5.8185272,Messancy
435,MESSANCY,96,9,9,49.5926876,5.8185272,Capellen
436,MESSANCY,96,9,9,49.5926876,5.8185272,Klengbetten
437,MEVERGNIES-ATTRE,101,9,9,50.5997926,3.834544599999999,Mevergnies-Attre
438,MILMORT,246,72,63,50.69274520000001,5.5999167000000005,Milmort
439,MOENSBERG,439,9,9,50.7785868,4.331811399999999,Moensberg
440,MOL,2033,819,1022,51.1905033,5.1151294,Mol
441,MOLLEM,294,73,58,50.93347499999999,4.216966999999999,Mollem
442,MOMALLE,80,16,18,50.6699297,5.366839700000001,Momalle
443,MONS,8997,3747,3517,50.45383620000001,3.9423708,Mons
444,MONT-SAINT-GUIBERT,422,73,50,50.63818970000001,4.6126556,Mont-Saint-Guibert
445,MOORTSELE,126,18,13,50.9535223,3.7811681,Moortsele
446,MORLANWELZ,356,57,34,50.45835599999999,4.2470344,Morlanwelz
447,MORTSEL,527,44,62,51.18299769999999,4.4486273,Mortsel
448,MORTSEL-DEURNESTEENWEG,9,40,28,51.1823342,4.4472697,Mortsel-Deurnesteenweg
449,MORTSEL-LIERSESTEENWEG,158,5,9,51.1693544,4.468941399999999,Hove
450,MORTSEL-LIERSESTEENWEG,158,5,9,51.1693544,4.468941399999999,Mortsel-Liersesteenweg
451,MORTSEL-OUDE-GOD,642,426,251,51.17117409999999,4.4557644,Mortsel-Oude God
452,MOUSCRON/MOESKROEN,2028,775,768,50.7401028,3.2274704,Mouscron
453,MOUSCRON/MOESKROEN,2028,775,768,50.7401028,3.2274704,Croix Wasquehal
454,MOUSCRON/MOESKROEN,2028,775,768,50.7401028,3.2274704,Tourcoing
455,MOUSCRON/MOESKROEN,2028,775,768,50.7401028,3.2274704,Croix l'Allumette
456,MOUSCRON/MOESKROEN,2028,775,768,50.7401028,3.2274704,Roubaix
457,MOUSTIER,168,43,31,50.452913,4.694374199999999,Moustier
458,MUIZEN,187,49,75,51.0087479,4.5135288000000005,Hever
459,MUIZEN,187,49,75,51.0087479,4.5135288000000005,Muizen
460,MUNKZWALM,247,70,72,50.8756424,3.733101,Munkzwalm
461,NAMECHE,93,32,22,50.4701472,4.9974504,Namêche
462,NAMUR,18647,7964,7605,50.46908209999999,4.8624695,Namur
463,NANINNE,148,22,20,50.41972330000001,4.9298965,Naninne
464,NATOYE,136,53,31,50.3429235,5.061181899999999,Natoye
465,NEERPELT,437,225,447,51.2212869,5.4369437000000005,Neerpelt
466,NEERWINDEN,170,28,31,50.7638352,5.036859700000001,Neerwinden
467,NESSONVAUX,293,120,73,50.57209109999999,5.7418903,Nessonvaux
468,NEUFCHATEAU,126,26,55,49.85402999999999,5.4524322,Neufchâteau
469,NEUFVILLES,55,9,9,50.5434394,4.0103405,Neufvilles
470,NIEL,174,9,9,51.11154029999999,4.338451999999998,Niel
471,NIEUWKERKEN-WAAS,122,8,9,51.1854884,4.1854056,Nieuwkerken-Waas
472,NIJLEN,625,189,150,51.1598571,4.6666357000000005,Nijlen
473,NIMY,86,21,17,50.4717445,3.956287,Nimy
474,NINOVE,1505,325,191,50.8394626,4.0261818,Ninove
475,NIVELLES,4441,903,589,50.5998515,4.3349679000000005,Nivelles
476,NOORDERKEMPEN,965,260,494,51.35730290000001,4.6327332000000006,Noorderkempen
477,NOSSEGEM,377,79,67,50.8836664,4.5075052000000015,Nossegem
478,OBAIX-BUZET,167,9,9,50.5354823,4.3636759000000005,Obaix-Buzet
479,OBOURG,25,9,9,50.469874,4.007808,Obourg
480,OKEGEM,220,63,35,50.8564239,4.0537031,Okegem
481,OLEN,517,236,199,49.27879520000001,142.8731686,
